NAME	SIZE	ES	NES	NOM.p.val	FDR.q.val	FWER.p.val	RANK.AT.MAX	PERCENT_LEAD	PERCENT_LIST	PERCENT_SIGNAL	DIRECTION	NUM_DE
GO_ACIDIC_AMINO_ACID_TRANSPORT	18	0.7944018	1.7043868	0.005699359	0.26844716	0.9999	1395	28	6	30	1	4
GO_ACTININ_BINDING	22	0.5616224	1.2466463	0.18681319	0.50538725	1	4960	41	22	52	1	1
GO_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	86	-0.66585124	-1.6609713	0.0033391404	0.16474351	1	2836	27	12	30	-1	7
GO_ACTIVATION_OF_GTPASE_ACTIVITY	68	0.6464991	1.7525454	0.00030138638	0.24550545	0.9901	2931	28	13	32	1	8
GO_ACTIVATION_OF_PROTEIN_KINASE_A_ACTIVITY	15	0.60442066	1.2565163	0.19708715	0.49862993	1	258	13	1	13	1	3
GO_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	145	0.4495297	1.3670702	0.025670499	0.42173603	1	1952	25	9	27	1	28
GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	295	0.39381444	1.2837378	0.02279044	0.47348005	1	2017	24	9	26	1	53
GO_ACUTE_INFLAMMATORY_RESPONSE	48	0.5250426	1.3545189	0.08113365	0.43203592	1	3005	27	13	31	1	6
GO_ACUTE_PHASE_RESPONSE	25	0.6738438	1.538716	0.029555447	0.3161571	1	1442	16	6	17	1	2
GO_ACYL_COA_DEHYDROGENASE_ACTIVITY	16	0.7295083	1.5246145	0.040983606	0.32424167	1	2674	38	12	42	1	2
GO_ACYLGLYCEROL_HOMEOSTASIS	19	-0.78525746	-1.574256	0.024581768	0.21890791	1	1559	26	7	28	-1	2
GO_ADHERENS_JUNCTION_ASSEMBLY	32	0.56027776	1.3429972	0.10115237	0.4378869	1	1211	16	5	16	1	4
GO_ADHERENS_JUNCTION_ORGANIZATION	66	0.5495407	1.4958731	0.020488098	0.36498162	1	1443	14	6	15	1	6
GO_ADIPOSE_TISSUE_DEVELOPMENT	30	0.55373585	1.3125712	0.1267496	0.4554275	1	1376	17	6	18	1	6
GO_ADP_METABOLIC_PROCESS	41	-0.74157614	-1.6858667	0.0056615984	0.1613073	1	850	27	4	28	-1	11
GO_ADRENAL_GLAND_DEVELOPMENT	16	0.6731613	1.4074715	0.090136856	0.4130304	1	1403	25	6	27	1	3
GO_AGING	226	-0.5404309	-1.4919779	0.0051767677	0.2677585	1	2701	19	12	21	-1	32
GO_ALCOHOL_BIOSYNTHETIC_PROCESS	101	-0.5711024	-1.4550178	0.027440332	0.2952003	1	1455	21	6	22	-1	22
GO_ALCOHOL_CATABOLIC_PROCESS	51	0.5344413	1.387021	0.059610028	0.41938367	1	2698	29	12	33	1	5
GO_ALCOHOL_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	19	0.5822298	1.2578512	0.1849711	0.49633774	1	190	11	1	11	1	3
GO_ALDO_KETO_REDUCTASE_NADP_ACTIVITY	22	0.6254599	1.3924065	0.095714286	0.42173553	1	589	14	3	14	1	3
GO_AMIDE_BIOSYNTHETIC_PROCESS	478	-0.5597148	-1.6317648	0	0.18821831	1	4041	40	18	47	-1	55
GO_AMIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	16	0.6770466	1.4097652	0.08894118	0.41594714	1	2519	38	11	42	1	2
GO_AMINE_BIOSYNTHETIC_PROCESS	18	-0.7633684	-1.5248765	0.03868439	0.24552934	1	612	11	3	11	-1	3
GO_AMINE_CATABOLIC_PROCESS	18	0.73980653	1.5768629	0.021128451	0.32972267	1	1483	33	6	36	1	3
GO_AMINO_ACID_ACTIVATION	52	-0.767102	-1.8020637	0.00046678077	0.07955263	0.7019	2265	46	10	51	-1	12
GO_AMINO_ACID_BETAINE_METABOLIC_PROCESS	18	0.7735491	1.6593617	0.012478591	0.27338982	1	2156	50	9	55	1	2
GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORT	57	0.7009073	1.8666418	0	0.17344856	0.5362	1814	25	8	27	1	8
GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	67	0.70975465	1.9303986	0	0.16860935	0.1697	1814	24	8	26	1	10
GO_AMINO_ACID_TRANSPORT	111	0.64979106	1.9103575	0	0.13949618	0.2647	1814	21	8	22	1	16
GO_AMINOGLYCAN_BIOSYNTHETIC_PROCESS	97	0.5383347	1.5497128	0.0088005215	0.31273362	1	2826	28	12	32	1	12
GO_AMINOGLYCAN_CATABOLIC_PROCESS	52	0.51879746	1.3556037	0.075028315	0.43064845	1	2391	25	10	28	1	5
GO_AMINOGLYCAN_METABOLIC_PROCESS	142	0.45094582	1.3740095	0.02110818	0.42174095	1	2826	28	12	32	1	20
GO_AMINO_SUGAR_METABOLIC_PROCESS	36	0.53531283	1.3099904	0.111826226	0.45700377	1	1949	25	9	27	1	4
GO_AMMONIUM_TRANSMEMBRANE_TRANSPORT	21	0.5740068	1.2716986	0.171145	0.4833534	1	492	19	2	19	1	5
GO_AMMONIUM_TRANSPORT	44	0.6047098	1.535423	0.024583448	0.3168592	1	640	18	3	19	1	10
GO_ANCHORED_COMPONENT_OF_PLASMA_MEMBRANE	27	0.718852	1.6520107	0.013369646	0.27091333	1	472	15	2	15	1	4
GO_ANION_ANION_ANTIPORTER_ACTIVITY	16	0.6432457	1.3425422	0.12720111	0.4376898	1	1941	50	8	55	1	5
GO_ANION_CATION_SYMPORTER_ACTIVITY	41	0.5342483	1.346842	0.08768606	0.43766078	1	1308	20	6	21	1	6
GO_ANION_TRANSMEMBRANE_TRANSPORT	202	0.5282428	1.6690975	0	0.27105567	1	1959	26	9	28	1	33
GO_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	233	0.47256812	1.5150002	0.0014184397	0.33652738	1	1815	24	8	26	1	40
GO_ANION_TRANSPORT	413	0.40498254	1.3651723	0.00147929	0.42506722	1	1959	22	9	23	1	67
GO_ANTIGEN_BINDING	55	0.4975671	1.3109426	0.0957964	0.45830503	1	1345	13	6	13	1	5
GO_ANTIPORTER_ACTIVITY	60	0.49292767	1.3139642	0.08455237	0.45687416	1	1941	32	8	35	1	16
GO_APOPTOTIC_MITOCHONDRIAL_CHANGES	55	-0.62935334	-1.4833848	0.035350416	0.273044	1	3068	36	13	42	-1	8
GO_ASSOCIATIVE_LEARNING	57	-0.65533394	-1.5479146	0.014977839	0.23433898	1	1140	14	5	15	-1	9
GO_ASTROCYTE_DIFFERENTIATION	29	-0.7480155	-1.603509	0.021404682	0.20786962	1	990	10	4	11	-1	5
GO_ATP_GENERATION_FROM_ADP	33	-0.79285777	-1.7253472	0.0027691806	0.13425915	0.9971	850	33	4	35	-1	11
GO_ATRIOVENTRICULAR_VALVE_DEVELOPMENT	18	-0.843919	-1.6823078	0.006162273	0.15602455	1	734	17	3	17	-1	3
GO_ATRIOVENTRICULAR_VALVE_MORPHOGENESIS	16	-0.84527576	-1.6444806	0.008313128	0.17721605	1	734	19	3	19	-1	3
GO_AXIS_ELONGATION	22	0.58266985	1.3004181	0.14130703	0.46299252	1	1680	23	7	25	1	3
GO_AXONAL_GROWTH_CONE	19	-0.7773538	-1.5565574	0.029686175	0.22911601	1	12	5	0	5	-1	1
GO_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	19	0.6788747	1.4630591	0.05814788	0.38990763	1	1977	21	9	23	1	3
GO_BASAL_PART_OF_CELL	46	0.5841832	1.5004078	0.030260578	0.3629007	1	5376	48	23	62	1	3
GO_BASAL_PLASMA_MEMBRANE	29	0.5884348	1.3859311	0.080653526	0.4174348	1	5248	48	23	63	1	2
GO_BASEMENT_MEMBRANE	89	0.47297394	1.3477103	0.04977521	0.43827656	1	3141	21	14	25	1	8
GO_BASOLATERAL_PLASMA_MEMBRANE	181	0.40070605	1.2489401	0.05909472	0.5070599	1	1612	18	7	19	1	26
GO_B_CELL_ACTIVATION	98	-0.5831715	-1.4844024	0.019896194	0.27209336	1	2560	23	11	26	-1	11
GO_B_CELL_HOMEOSTASIS	18	-0.76229686	-1.5126237	0.036536798	0.26037163	1	3686	44	16	53	-1	2
GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY	26	-0.73130596	-1.5411364	0.02740892	0.23848374	1	2560	35	11	39	-1	4
GO_BENZENE_CONTAINING_COMPOUND_METABOLIC_PROCESS	18	0.69715613	1.4937526	0.055099647	0.3682805	1	1386	28	6	30	1	4
GO_BETA_AMYLOID_BINDING	33	-0.6836503	-1.4933109	0.04151005	0.2668838	1	821	6	4	6	-1	4
GO_BILE_ACID_AND_BILE_SALT_TRANSPORT	20	0.7289781	1.6015435	0.02250419	0.2926836	1	589	15	3	15	1	3
GO_BILE_ACID_METABOLIC_PROCESS	24	0.57158107	1.3043119	0.13814119	0.46162286	1	2262	33	10	37	1	6
GO_BIOMINERAL_TISSUE_DEVELOPMENT	58	-0.6700226	-1.588517	0.010752688	0.21520594	1	2590	26	11	29	-1	7
GO_BLASTOCYST_DEVELOPMENT	53	-0.7659926	-1.789542	0.0006286343	0.08221142	0.8043	2018	32	9	35	-1	6
GO_BLASTOCYST_FORMATION	24	-0.8058165	-1.6696978	0.0077375947	0.16935542	1	1972	42	9	46	-1	5
GO_BLASTOCYST_GROWTH	16	-0.8038531	-1.5570014	0.02705046	0.22985849	1	3957	69	17	83	-1	0
GO_BONE_MINERALIZATION	33	-0.74344367	-1.6252161	0.01316431	0.19652177	1	2590	27	11	31	-1	3
GO_BONE_REMODELING	31	0.6960855	1.6642361	0.009738595	0.27189124	1	1376	19	6	21	1	2
GO_BONE_RESORPTION	19	0.7144581	1.541058	0.034060925	0.31557205	1	877	16	4	16	1	1
GO_BRAIN_MORPHOGENESIS	28	0.5647312	1.3134935	0.12656641	0.45435032	1	1476	18	6	19	1	4
GO_CAJAL_BODY	52	-0.7215095	-1.6926382	0.0027611598	0.15335907	1	2160	25	9	28	-1	4
GO_CALCIUM_ACTIVATED_CATION_CHANNEL_ACTIVITY	20	0.7127909	1.5605088	0.030495243	0.30840856	1	1855	25	8	27	1	3
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	23	0.6829357	1.5294657	0.03510507	0.32441342	1	3195	61	14	71	1	1
GO_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	18	0.62805235	1.3352598	0.13027266	0.4399995	1	4195	39	18	48	1	1
GO_CALCIUM_ION_IMPORT_INTO_CYTOSOL	33	-0.6679843	-1.4517171	0.05767335	0.29552087	1	2245	27	10	30	-1	5
GO_CAMERA_TYPE_EYE_MORPHOGENESIS	88	0.4583149	1.299223	0.074074075	0.46363083	1	2679	20	12	23	1	9
GO_CARBOHYDRATE_HOMEOSTASIS	137	-0.55910885	-1.47297	0.015107815	0.28182104	1	1167	14	5	15	-1	25
GO_CARBOHYDRATE_KINASE_ACTIVITY	19	-0.8323712	-1.6663563	0.0068728523	0.17017357	1	1481	37	6	39	-1	5
GO_CARBOHYDRATE_PHOSPHORYLATION	21	-0.81002915	-1.6400366	0.012253233	0.1830612	1	1481	29	6	31	-1	4
GO_CARBOHYDRATE_TRANSPORTER_ACTIVITY	36	0.53549516	1.3159745	0.10745098	0.45432112	1	757	14	3	14	1	8
GO_CARBOXY_LYASE_ACTIVITY	30	-0.68284535	-1.4709004	0.04880462	0.28202704	1	1305	23	6	25	-1	7
GO_CARDIAC_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	21	-0.7903357	-1.6037711	0.015115489	0.20847008	1	734	10	3	10	-1	2
GO_CATION_SUGAR_SYMPORTER_ACTIVITY	15	0.890791	1.8413055	0.00022993791	0.15765363	0.7073	757	33	3	34	1	5
GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	167	0.57343596	1.7827802	0	0.1971031	0.9515	3279	29	14	34	1	10
GO_CELL_CYCLE_G1_S_PHASE_TRANSITION	109	-0.7031407	-1.8157192	0.00014080541	0.06811943	0.5686	3626	41	16	49	-1	19
GO_CELL_CYCLE_PHASE_TRANSITION	250	-0.558753	-1.5582485	0.0010085729	0.22882465	1	3910	31	17	37	-1	28
GO_CELL_DIFFERENTIATION_IN_SPINAL_CORD	25	0.5815986	1.337645	0.112144955	0.43797937	1	2014	24	9	26	1	3
GO_CELL_DIFFERENTIATION_INVOLVED_IN_EMBRYONIC_PLACENTA_DEVELOPMENT	18	0.6190437	1.3333715	0.12887941	0.44085905	1	893	17	4	17	1	2
GO_CELL_FATE_COMMITMENT_INVOLVED_IN_FORMATION_OF_PRIMARY_GERM_LAYER	19	-0.75367594	-1.5053897	0.039376818	0.26059142	1	1405	26	6	28	-1	2
GO_CELL_MATRIX_ADHESION	101	0.4391497	1.2773441	0.078266494	0.47925007	1	2131	16	9	17	1	11
GO_CELL_SUBSTRATE_ADHERENS_JUNCTION_ASSEMBLY	22	0.57617277	1.2744142	0.16687027	0.4810171	1	917	14	4	14	1	3
GO_CELL_SUBSTRATE_ADHESION	146	0.42738524	1.2979825	0.03887195	0.46442607	1	4134	30	18	37	1	12
GO_CELL_SUBSTRATE_JUNCTION_ASSEMBLY	39	0.5605274	1.3857464	0.07028327	0.41634306	1	917	10	4	11	1	4
GO_CELLULAR_AMINO_ACID_METABOLIC_PROCESS	304	-0.524873	-1.4886128	0.0021967294	0.26793268	1	2269	21	10	23	-1	46
GO_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS	125	-0.58902866	-1.5360029	0.007609297	0.23712781	1	1504	18	7	20	-1	22
GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS	218	0.3931592	1.2496125	0.052949373	0.5086423	1	2082	16	9	17	1	21
GO_CELLULAR_DEFENSE_RESPONSE	23	0.5725351	1.2828588	0.1595612	0.47227234	1	756	13	3	13	1	3
GO_CELLULAR_MODIFIED_AMINO_ACID_CATABOLIC_PROCESS	17	0.654051	1.3938348	0.095135905	0.42474735	1	4303	59	19	72	1	3
GO_CELLULAR_PROTEIN_COMPLEX_DISASSEMBLY	118	-0.5822341	-1.5126032	0.012449293	0.25965834	1	5049	46	22	58	-1	10
GO_CELLULAR_RESPONSE_TO_AMINO_ACID_STARVATION	25	-0.78523344	-1.6486876	0.013988343	0.17624867	1	1304	20	6	21	-1	4
GO_CELLULAR_RESPONSE_TO_AMINO_ACID_STIMULUS	45	0.5191693	1.3239859	0.09033843	0.45047337	1	1261	11	6	12	1	5
GO_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS	125	0.45894182	1.3585113	0.035460994	0.42752358	1	1072	10	5	10	1	18
GO_CELLULAR_RESPONSE_TO_CORTICOSTEROID_STIMULUS	43	0.6892578	1.7375951	0.0029753854	0.24037138	0.9959	1072	16	5	17	1	8
GO_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS	232	-0.61178625	-1.6983428	0.00012672665	0.15487655	1	1634	14	7	15	-1	29
GO_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS	166	-0.6507965	-1.7389239	0	0.11630551	0.9905	1634	17	7	18	-1	24
GO_CELLULAR_RESPONSE_TO_FATTY_ACID	45	0.4896347	1.2430606	0.14832014	0.5091859	1	907	11	4	12	1	7
GO_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION	31	-0.7635353	-1.64869	0.010172272	0.17772448	1	2818	29	12	33	-1	4
GO_CELLULAR_RESPONSE_TO_HEAT	31	-0.69972676	-1.5117257	0.036018338	0.2593785	1	2530	35	11	40	-1	8
GO_CELLULAR_RESPONSE_TO_INTERLEUKIN_6	19	0.5753691	1.2386106	0.19744147	0.51525754	1	3375	37	15	43	1	1
GO_CELLULAR_RESPONSE_TO_NUTRIENT	33	-0.72836477	-1.5990522	0.01792699	0.21222332	1	1490	15	7	16	-1	3
GO_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS	132	-0.63133067	-1.6618775	0.00096153846	0.16574071	1	1829	23	8	25	-1	21
GO_CELLULAR_RESPONSE_TO_STARVATION	106	-0.67289954	-1.7258481	0.00056641176	0.13586329	0.9971	1634	19	7	20	-1	17
GO_CELLULAR_RESPONSE_TO_UV	65	-0.60074836	-1.4519573	0.040311705	0.29556873	1	3814	34	17	41	-1	6
GO_CELLULAR_RESPONSE_TO_VITAMIN	22	-0.77037996	-1.5950408	0.020384097	0.21012174	1	3001	27	13	31	-1	2
GO_CENTROMERE_COMPLEX_ASSEMBLY	38	-0.65542495	-1.474911	0.044795156	0.28002498	1	1098	16	5	17	-1	6
GO_CENTROSOME_LOCALIZATION	17	0.7193679	1.5280597	0.03948002	0.32553756	1	2976	29	13	34	1	1
GO_CHEMOREPELLENT_ACTIVITY	27	0.5981243	1.393134	0.082742915	0.42488858	1	2540	30	11	33	1	2
GO_CHLORIDE_CHANNEL_COMPLEX	37	0.61081374	1.5150654	0.032847684	0.33889025	1	1706	22	7	23	1	5
GO_CHONDROCYTE_DEVELOPMENT	20	0.6376973	1.3968704	0.095121354	0.42888495	1	2374	25	10	28	1	3
GO_CHROMATIN_SILENCING_AT_RDNA	18	-0.8006513	-1.585304	0.018887363	0.21616247	1	973	17	4	17	-1	2
GO_CHROMOSOME_TELOMERIC_REGION	134	-0.61803275	-1.6305745	0.0016337645	0.18956739	1	3888	31	17	37	-1	11
GO_CILIARY_BASAL_BODY	77	0.48410705	1.3486223	0.060352832	0.44156456	1	4315	36	19	45	1	5
GO_CILIARY_MEMBRANE	64	0.5148031	1.394782	0.047532547	0.42738494	1	2180	20	10	22	1	8
GO_CILIARY_PART	270	0.43255305	1.4076309	0.0035140563	0.41437778	1	2253	17	10	19	1	25
GO_CILIARY_TIP	43	0.63995814	1.620579	0.01183432	0.26255453	1	1861	23	8	25	1	5
GO_CILIUM	409	0.36813253	1.238503	0.015467384	0.51446617	1	2182	16	10	17	1	42
GO_CILIUM_MORPHOGENESIS	192	0.4142349	1.3028055	0.029927319	0.46296352	1	1987	15	9	16	1	17
GO_CILIUM_MOVEMENT	35	0.5704294	1.3945973	0.071316615	0.42614567	1	1977	20	9	22	1	4
GO_CILIUM_ORGANIZATION	176	0.46266243	1.4342363	0.007939825	0.39601856	1	2182	18	10	20	1	15
GO_CIRCADIAN_REGULATION_OF_GENE_EXPRESSION	52	-0.7281231	-1.7007453	0.003586465	0.15600066	0.9999	1511	31	7	33	-1	14
GO_CIRCADIAN_RHYTHM	121	-0.6587626	-1.7082708	0.00083845726	0.1498839	0.9997	1924	21	8	23	-1	21
GO_CIS_GOLGI_NETWORK	39	0.6456704	1.6080029	0.013114754	0.283432	1	2705	28	12	32	1	3
GO_CLATHRIN_COATED_ENDOCYTIC_VESICLE	48	-0.7074885	-1.6377155	0.006190992	0.18269923	1	1801	15	8	16	-1	6
GO_CLATHRIN_MEDIATED_ENDOCYTOSIS	35	0.5154492	1.2551562	0.15223646	0.49883544	1	3987	37	17	45	1	3
GO_CLATHRIN_VESICLE_COAT	23	0.55491024	1.2470295	0.17968942	0.5054948	1	3493	26	15	31	1	1
GO_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	19	-0.77494013	-1.5619758	0.026333788	0.22957069	1	3016	47	13	55	-1	3
GO_COA_HYDROLASE_ACTIVITY	16	0.6221002	1.2916436	0.17179789	0.47103515	1	3361	44	15	51	1	0
GO_COENZYME_BIOSYNTHETIC_PROCESS	117	-0.6310452	-1.6398973	0.0015299027	0.1819738	1	700	12	3	12	-1	18
GO_COENZYME_METABOLIC_PROCESS	240	-0.5831883	-1.6172775	0.00025510203	0.20458189	1	1170	14	5	14	-1	38
GO_COFACTOR_BIOSYNTHETIC_PROCESS	154	-0.5792941	-1.5453051	0.005145565	0.2342342	1	1879	16	8	18	-1	21
GO_COFACTOR_METABOLIC_PROCESS	302	-0.53296256	-1.5089791	0.0006122949	0.25824583	1	1336	13	6	13	-1	42
GO_COFACTOR_TRANSPORT	24	0.6890088	1.5660644	0.023898432	0.30612066	1	1220	38	5	40	1	7
GO_COFACTOR_TRANSPORTER_ACTIVITY	20	0.611572	1.3376657	0.12209865	0.43924454	1	2223	40	10	44	1	5
GO_COLLAGEN_FIBRIL_ORGANIZATION	35	0.5287594	1.2801957	0.14736284	0.4743899	1	482	9	2	9	1	4
GO_COLLAGEN_TRIMER	67	0.54483324	1.4852765	0.024665676	0.3815477	1	2653	34	12	39	1	10
GO_COMPLEX_OF_COLLAGEN_TRIMERS	23	0.6464946	1.4548862	0.05799605	0.39002943	1	2958	39	13	45	1	3
GO_CORE_PROMOTER_PROXIMAL_REGION_DNA_BINDING	276	-0.5468854	-1.5358446	0.00073973613	0.23670034	1	2609	20	11	22	-1	35
GO_CORE_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING	87	-0.5855355	-1.4650267	0.026776668	0.28717476	1	2914	24	13	28	-1	10
GO_CYCLASE_ACTIVITY	17	0.65272343	1.3647127	0.11698905	0.4247921	1	258	18	1	18	1	5
GO_CYCLIC_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	25	0.5923468	1.3542967	0.10190616	0.43119618	1	258	12	1	12	1	5
GO_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	75	0.46062794	1.2845441	0.0913928	0.4737406	1	1957	13	9	15	1	5
GO_CYTOPLASMIC_STRESS_GRANULE	30	-0.69090426	-1.490066	0.045432016	0.26799944	1	2813	20	12	23	-1	1
GO_CYTOPLASMIC_TRANSLATION	41	-0.7321659	-1.6636511	0.008742648	0.1697416	1	5341	78	23	102	-1	3
GO_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	59	-0.6854952	-1.6367574	0.008592911	0.18359295	1	5271	80	23	103	-1	3
GO_CYTOSOLIC_RIBOSOME	104	-0.6505468	-1.6636039	0.0014140272	0.16819577	1	5304	71	23	92	-1	4
GO_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	39	-0.68620485	-1.5363685	0.024711428	0.23786956	1	6887	90	30	128	-1	0
GO_CYTOSOLIC_TRANSPORT	197	0.429449	1.3513985	0.018707482	0.43724063	1	2492	17	11	19	1	20
GO_DEATH_RECEPTOR_ACTIVITY	21	-0.7630247	-1.5386986	0.030819003	0.23903175	1	7	5	0	5	-1	1
GO_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	16	-0.7984292	-1.5478523	0.025300995	0.23361614	1	2466	38	11	42	-1	4
GO_DERMATAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS	15	0.6898866	1.4378815	0.07417062	0.3921678	1	2547	40	11	45	1	2
GO_DETECTION_OF_ABIOTIC_STIMULUS	80	0.5244625	1.4693173	0.020351527	0.38897765	1	1878	21	8	23	1	13
GO_DETECTION_OF_LIGHT_STIMULUS	38	0.5591021	1.3745897	0.08134228	0.42179546	1	1878	26	8	29	1	7
GO_DETECTION_OF_MECHANICAL_STIMULUS	30	0.5568492	1.327556	0.114877105	0.4478147	1	3432	33	15	39	1	4
GO_DEVELOPMENTAL_INDUCTION	19	0.65377545	1.4124701	0.07805109	0.41422844	1	3450	32	15	37	1	2
GO_DICARBOXYLIC_ACID_CATABOLIC_PROCESS	15	0.65031695	1.3378643	0.13449477	0.44007388	1	1916	33	8	36	1	3
GO_DICARBOXYLIC_ACID_TRANSPORT	64	0.49858633	1.3389319	0.07049228	0.4386887	1	1585	23	7	25	1	14
GO_DIGESTIVE_SYSTEM_DEVELOPMENT	120	0.4931877	1.4549006	0.01062323	0.39217862	1	1861	14	8	15	1	17
GO_DNA_BINDING_BENDING	18	-0.8008127	-1.5840182	0.02027027	0.21697174	1	1920	22	8	24	-1	1
GO_DNA_DEPENDENT_DNA_REPLICATION	94	-0.63638246	-1.6107637	0.0035770496	0.20698246	1	2810	29	12	33	-1	14
GO_DNA_REPLICATION	198	-0.53139275	-1.4529494	0.009852217	0.29569927	1	3140	26	14	30	-1	25
GO_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION	16	-0.80707	-1.5746135	0.02318339	0.22003217	1	1493	19	7	20	-1	0
